City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Tateyama,JP,67.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
Mataura,NZ,62.47,scattered clouds,-46.1927,168.8643,Ellie's Villa
Puerto Ayora,EC,66.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Castro,BR,50.92,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
Burns Lake,CA,69.22,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
East London,ZA,62.31,overcast clouds,-33.0153,27.9116,Tu Casa
Hobart,AU,56.05,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
Busselton,AU,56.98,few clouds,-33.65,115.3333,Observatory Guest House
Nantucket,US,62.71,clear sky,41.2835,-70.0995,Jared Coffin House
Bluff,NZ,62.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,Le four à pain
Ketchikan,US,57.67,few clouds,55.3422,-131.6461,Snow's Cove Lodge
Kodiak,US,53.11,light rain,57.79,-152.4072,Best Western Kodiak Inn
Westport,US,67.78,overcast clouds,41.1415,-73.3579,The Westport Inn
Chuy,UY,53.06,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
Hermanus,ZA,54.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
Kumluca,TR,68.0,clear sky,36.3703,30.2869,Akkol Apart
Bredasdorp,ZA,52.11,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
Llanes,ES,63.82,overcast clouds,43.4198,-4.7549,Hotel La Paz
New Norfolk,AU,56.71,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
Mar Del Plata,AR,59.02,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
Azuaga,ES,63.97,clear sky,38.2667,-5.6833,Casa Rural La Hoya
Kaitangata,NZ,56.26,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
Kalaleh,IR,64.0,scattered clouds,37.3807,55.4916,عطر و ادکلن پارسیس
Port Alfred,ZA,60.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
Qujing,CN,60.17,overcast clouds,25.4833,103.7833,Yulong Hotel
Cape Town,ZA,58.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
Tuktoyaktuk,CA,50.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
Arroyo,ES,59.04,overcast clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
Ambilobe,MG,64.44,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
Loukisia,GR,63.55,clear sky,38.4833,23.45,ΚΤΗΜΑ ΑΝΘΗΔΩΝ
Saint-Francois,FR,55.67,overcast clouds,46.4154,3.9054,Maison Vin d'Hus
Jalu,LY,67.15,clear sky,29.0331,21.5482,صاحبة الفخامة
Rongcheng,CN,57.76,light rain,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
Butia,BR,55.76,clear sky,-30.1197,-51.9622,Restaurante e Churrascaria Santo Antonio Ltda
Zaranj,AF,66.16,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
Liptovsky Mikulas,SK,53.76,few clouds,49.0806,19.6222,Hotel Janosik
Bethel,US,66.51,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
Hyeres,FR,63.68,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
Tuatapere,NZ,58.53,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
Fort Nelson,CA,65.79,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
Waw,SS,68.49,light rain,7.7029,27.9953,Universal Gab Hotel
North Bend,US,59.92,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
Port Hardy,CA,53.78,fog,50.6996,-127.4199,Airport Inn-Port Hardy
Nikolskoye,RU,51.69,scattered clouds,59.7035,30.7861,Tourist House - Sablino
Solhan,TR,62.37,scattered clouds,38.9634,41.0293,Solhan Ogretmenevi
Grants,US,57.43,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
Sundby,DK,57.02,overcast clouds,54.864,11.793,Motel Højmølle Kro
Lichinga,MZ,64.49,clear sky,-13.3128,35.2406,Residencial Bendiak
Norfolk,US,67.48,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
Pisco,PE,60.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
Waipawa,NZ,57.11,clear sky,-41.4122,175.5153,Tora Coastal Walk
Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
Lebanon,US,66.25,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
Talara,PE,63.64,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
Coihueco,CL,50.74,few clouds,-36.6167,-71.8333,"Frutillares, Coihueco"
Tumut,AU,62.13,overcast clouds,-35.3,148.2167,Amaroo Motel
Masterton,NZ,58.89,clear sky,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
Foumban,CM,62.67,overcast clouds,5.7291,10.9001,Hotel Pekassa De Karche
Sitka,US,57.09,broken clouds,57.0531,-135.33,Westmark Sitka
Kolno,PL,52.0,overcast clouds,53.4115,21.9291,Colnus
Te Anau,NZ,52.45,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
Buin,CL,63.73,broken clouds,-33.7333,-70.75,Paihuen
Fortuna,US,56.98,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
Formosa,AR,66.18,clear sky,-26.1775,-58.1781,Asterión Departamentos
Naron,ES,62.04,overcast clouds,43.5167,-8.1528,Marcial
Norman Wells,CA,57.24,broken clouds,65.282,-126.8329,Heritage Hotel
Korla,CN,56.14,clear sky,41.7597,86.1469,Gulisitan Hotel
Kropotkin,RU,56.68,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
Barcelona,ES,67.78,broken clouds,41.3888,2.159,Axel Hotel Barcelona
Veselynove,UA,51.15,broken clouds,47.3567,31.2349,Отель «Колос»
Geraldton,AU,63.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
Broken Hill,AU,58.01,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
Kabanjahe,ID,62.87,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
Burnie,AU,53.94,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
Khasan,RU,50.4,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
Launceston,AU,58.6,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
Vieste,IT,67.42,overcast clouds,41.8825,16.175,Hotel Falcone
Komsomolskiy,UZ,50.72,clear sky,40.4272,71.7189,Ikathouse
Kenai,US,53.02,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
Muyezerskiy,RU,50.72,overcast clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
Punta De Bombon,PE,60.44,clear sky,-17.1717,-71.7931,Hotel Bedregal
Northam,GB,54.61,clear sky,51.0333,-4.2167,Durrant House Hotel
Awjilah,LY,66.78,clear sky,29.1081,21.2869,المنزل
Dieppe,FR,53.33,overcast clouds,49.75,1.1667,LA LONGERE DES NUITS DE VARENNE
Akonolinga,CM,66.45,moderate rain,3.7667,12.25,Le Diamant De Mireille
Esperance,AU,59.32,overcast clouds,-33.8667,121.9,Hospitality Esperance
Necochea,AR,54.97,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
Katsuura,JP,66.88,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
Anshun,CN,52.81,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
Dunedin,NZ,56.77,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
Alice Springs,AU,67.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
Torbay,CA,51.58,overcast clouds,47.6666,-52.7314,Gallows Cove
Kruisfontein,ZA,54.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
Mount Gambier,AU,55.62,few clouds,-37.8333,140.7667,The Commodore
Hangu,CN,55.44,few clouds,39.2489,117.7892,Chongli Xuexiang Family Express Inn
Seoul,KR,60.24,scattered clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
Chicama,PE,57.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
Iranshahr,IR,66.54,clear sky,27.2025,60.6848,نیک سرشت
Sorgun,TR,50.72,light rain,39.8101,35.186,SORGUN BIG THERMAL TURIZM HOTEL COMPANY A.Ş.
Sambava,MG,67.01,few clouds,-14.2667,50.1667,Melrose
Cooma,AU,63.54,few clouds,-36.2333,149.1333,High Country Motel
Maldonado,UY,62.22,clear sky,-34.6667,-54.9167,La Cimarrona
Brigantine,US,66.0,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
Siniscola,IT,54.95,scattered clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
Palmer,US,60.67,overcast clouds,42.1584,-72.3287,Wedgewood Motel
Codrington,AU,54.52,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
Bella Union,UY,60.64,clear sky,-30.2752,-57.6007,Saville Free Shop
Saint-Denis,FR,54.14,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
Bay Roberts,CA,52.34,overcast clouds,47.5999,-53.2648,Stonewall Inn
Bandipur,NP,64.08,overcast clouds,27.9333,84.4167,Bandipur Guest House
Saint Albans,GB,52.5,clear sky,51.75,-0.3333,The White Hart
Sanary-Sur-Mer,FR,69.89,few clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
Leno,IT,64.87,scattered clouds,45.3725,10.2166,Lenotel
Lubumbashi,CD,60.78,clear sky,-11.6609,27.4794,Glo Flats
Hamilton,US,51.89,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
Constitucion,CL,51.71,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
Valparaiso,CL,56.84,few clouds,-33.0393,-71.6273,Hotel Ultramar
Sangmelima,CM,64.78,overcast clouds,2.9333,11.9833,gamestar hotel
Christchurch,NZ,61.32,clear sky,-43.5333,172.6333,The George
Puerto Quijarro,BO,69.87,overcast clouds,-17.7833,-57.7667,Hotel palance
Itapora,BR,62.87,clear sky,-22.0799,-54.7874,Alojamento do Paulinho
Puerto Baquerizo Moreno,EC,67.19,broken clouds,-0.9,-89.6,Hotel los Algarrobos
Skotina,GR,58.93,clear sky,40.0147,22.5515,San Panteleimon Hotel
Yulara,AU,67.05,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Belorechensk,RU,54.72,clear sky,44.76,39.87,РГК Сити Парк Белореченск
Burgersdorp,ZA,51.69,clear sky,-30.9977,26.3286,DeKat Self Catering
Cedral,MX,65.71,overcast clouds,23.8,-100.7333,Hotel Rocio
Lichtenburg,ZA,65.7,clear sky,-26.152,26.1597,Kennzy Guest House
Aksu,CN,54.25,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
Debre Zeyit,ET,58.23,overcast clouds,8.75,38.9833,Kuriftu Resort & Spa Bishoftu
Khuzdar,PK,69.73,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
Huanren,CN,50.61,clear sky,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
Weyburn,CA,52.72,clear sky,49.6668,-103.8511,Perfect Inns & Suites
Jiexiu,CN,58.71,scattered clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
Meihekou,CN,50.9,scattered clouds,42.5272,125.6753,如家宾馆
Zastron,ZA,52.27,clear sky,-30.3023,27.084,Highlands Guest House
Namibe,AO,65.95,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Nurota,UZ,55.38,few clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
Ahipara,NZ,61.0,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
Laizhou,CN,59.56,clear sky,37.1717,119.9214,GreenTree Inn Yantai Laizhou South Road Unicom Building Express Hotel
Divnomorskoye,RU,59.72,clear sky,44.5011,38.1353,Primorskiy
Cassilandia,BR,67.03,overcast clouds,-19.1133,-51.7342,Delirius Motel
Deniliquin,AU,59.16,scattered clouds,-35.5333,144.9667,Riviana Motel
Ludvika,SE,51.6,overcast clouds,60.1496,15.1878,Ludvika Stadshotell
Margate,GB,53.31,clear sky,51.3813,1.3862,Premier Inn Margate hotel
Gillette,US,52.95,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
Lata,PT,60.08,clear sky,40.1629,-8.3327,Casa Maquia
Siteki,SZ,58.6,broken clouds,-26.45,31.95,Siteki Hotel
Alcains,PT,63.91,few clouds,39.9164,-7.4566,Casa do Balcão
Lagoa,PT,69.73,overcast clouds,39.05,-27.9833,Casa Das Faias
Batemans Bay,AU,63.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
Riviere-Au-Renard,CA,52.09,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
Oktyabrskoye,RU,55.54,clear sky,43.0645,44.7417,Prolesok Mini-hotel
Gaimersheim,DE,51.15,fog,48.807,11.368,Der Heidehof
Taltal,CL,59.5,few clouds,-25.4,-70.4833,Residencial Karime
Nouadhibou,MR,70.0,clear sky,20.931,-17.0347,El Medina
Bonnyville,CA,56.17,broken clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
Knysna,ZA,58.21,broken clouds,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
Gazanjyk,TM,60.4,clear sky,39.2446,55.5154,Railway motel
Invermere,CA,62.37,overcast clouds,50.5167,-116.0354,Copper Point Resort
Xinzhou,CN,55.18,broken clouds,38.4092,112.7333,Shell Hotel - Xinzhou
Canberra,AU,67.44,broken clouds,-35.2835,149.1281,Novotel Canberra
Kaeo,NZ,59.25,overcast clouds,-35.1,173.7833,Bushido Lodge
Vallenar,CL,67.21,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
Montepuez,MZ,64.69,broken clouds,-13.1256,38.9997,PembaAparthotel
Pokhara,NP,68.18,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
Port Lincoln,AU,58.01,clear sky,-34.7333,135.8667,Port Lincoln Hotel
Arya,PK,67.23,clear sky,33.6,73.0667,Hotel Akbar International
Vangaindrano,MG,63.9,clear sky,-23.35,47.6,Hotel Fanilo
Praia Da Vitoria,PT,69.76,broken clouds,38.7333,-27.0667,Hotel Branco I
Jubbal,IN,52.23,overcast clouds,31.1167,77.6667,"Giriganga Resort, Kharapathar"
Coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,Hotel San Juan
Zhezkazgan,KZ,51.3,overcast clouds,47.8043,67.7144,Hotel Zumrat
Oloron-Sainte-Marie,FR,62.53,overcast clouds,43.1944,-0.6107,Hotel De La Paix
Rypin,PL,54.14,overcast clouds,53.066,19.4094,Hotel Level
Koster,ZA,63.37,clear sky,-25.863,26.8976,Klub Kranskuil
Muros,ES,65.08,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
Belgrade,RS,58.69,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
Ofunato,JP,58.3,overcast clouds,39.0717,141.7167,Ofunato Hot Spring
Hokitika,NZ,53.64,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
Montevideo,UY,69.51,clear sky,-34.8335,-56.1674,Besares Social Club
Piranshahr,IR,58.37,clear sky,36.701,45.1413,مسافر خانه سعدی
Hoquiam,US,63.43,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
Hay River,CA,52.86,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
Constantine,DZ,62.01,broken clouds,36.365,6.6147,Grand Hotel Cirta
Cananeia,BR,67.06,scattered clouds,-25.0147,-47.9267,Pousada Ancoradouro
Skibbereen,IE,50.11,clear sky,51.55,-9.2667,The West Cork Hotel
Rio Grande,BR,57.24,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
General Roca,AR,55.62,clear sky,-39.0333,-67.5833,Hotel El Recreo
Gavle,SE,53.92,overcast clouds,60.6745,17.1417,Scandic CH
General Pico,AR,62.38,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
Mizdah,LY,60.91,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
Nemuro,JP,51.64,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
El Sauzal,MX,69.78,scattered clouds,31.9,-116.6833,Hotel Las Rosas & Spa
Murgab,TM,53.42,clear sky,37.4966,61.9714,Wepa Nurlyýew
Otradnoye,RU,51.85,broken clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
Abyek,IR,54.57,clear sky,36.0667,50.55,kaspian sanat navrd sina(لوله مبلی سینا)
Challans,FR,51.96,clear sky,46.8436,-1.8749,Citotel Le Challans
Saldanha,ZA,58.53,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
Enid,US,62.98,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
Kamina,CD,64.76,clear sky,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
Calama,CL,55.89,clear sky,-22.4667,-68.9333,Park Hotel Calama
Tsiroanomandidy,MG,61.12,clear sky,-18.7667,46.0333,Hotel Ravinala
Perchtoldsdorf,AT,56.21,scattered clouds,48.119,16.2574,Eventhotel Pyramide
Guadix,ES,59.31,overcast clouds,37.2993,-3.1392,Hotel YIT Abentofail
Miranda,CO,66.88,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
Koszalin,PL,50.68,overcast clouds,54.1944,16.1722,Hotel Gromada
Grand Gaube,MU,68.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
Masuda,JP,63.93,overcast clouds,34.6667,131.85,Masuda Green Hotel Morris
Whitehorse,CA,59.81,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
Halmstad,SE,56.01,moderate rain,56.6745,12.8568,Best Western Plus Grand Hotel
Ushtobe,KZ,50.95,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
Santa Maria,BR,56.75,clear sky,-29.6842,-53.8069,Hotel Morotin
Biograd Na Moru,HR,54.3,overcast clouds,43.9433,15.4519,Villa Maimare
Pampierstad,ZA,57.65,clear sky,-27.7832,24.6877,BAROLONG METHODIST CHURCH
